1, Love Against the Power of Evil, Holy Knights
2, Sunrise in Eden, Edenbridge
3, Emerald Sword, Rhapsody of Fire
4, Believe in Love, Skylark
5, When Love and Death Embrace (HIM cover), Dark the Suns
6, Rebirth, Fairyland
7, The Scarecrow, Avantasia
8, Misterium Babel, Hollenthon
9, Lord of Nightmares, Holy Knights
10, Holding on to better Days, Xystus
11, Neutral, Penumbra
12, Awaking the Centuries, Haggard
13, Eagleheart, Beseech
14, Dying Inside, Skylark
15, Chasing The Dragon, Epica
16, Sir Percival, Holy Knights
17, My Chrysalis, Xystus
18, The Story Remains, Fairyland
19, Blank Infinity, Epica
20, Dies Irae, Part 2, Devil Doll
21, Long Lost To Where No Pathway Goes, Summoning
22, Doryan The Enlighted, Fairyland
23, Second Sight, Adagio
24, The Final Victory, Haggard
