1, Folk Song, Ash
2, Everything Is Green, The Essex Green
3, Let Go Of The Dream (Album Version), Hurricane #1
4, Better Than Bleeding, L'Altra
5, Wish You Were Here, Catherine Wheel
6, A Glorious Day (7" Version), Embrace
7, Easy On The Eye, The Trash Can Sinatras
8, Also Ran, Blueboy
9, Seven Days and Seven Nights, The New Year
10, Alright, Pilot Speed
11, A Few Good Days, The Orange Lights
12, Remote View, Dark Captain
13, What Will You Pay?, Forever Like Red
14, Don't Marry Her, The Beautiful South
