1, Minuet (Album Version), From First to Last
2, Decembers, Hawthorne Heights
3, Where My Mouth Is, Taking Back Sunday
4, Hope (Scream It Out Loud), The Blackout
5, All Terrain Vehicle, InMe
6, Northern Downpour, Panic! At The Disco
7, Belle Of The Boulevard, Dashboard Confessional
8, Forget Your Heart, Silverstein
9, Family Tradition, Senses Fail
10, Nicotine and Alcohol Saved My Life, Deaf Havana
11, Heartburn, Architects
12, You're Not Alone, Saosin
13, Saturday (Album Version), Kids in Glass Houses
