1, The Upward Spiral, Dies Natalis
2, Nebelland, Neun Welten
3, Je Ne Veux Plus Être Pieux, Café De L'Enfer
4, Innsbruck, Ich Muss Dich Lassen, Jahrtal
5, Goodbye My Revolution #2, Viy
6, I Saw Them Through The Pines / They Only Walk On Moss, Solanaceae
7, Risveglio, Argine
8, Die Eine Klage, Bacio Di Tosca
9, Aqualuna, Trobar De Morte
10, Cold Winter Sun, Decadence
11, House of Shadows, Hide & Seek
12, Une Attente Douleur (Mahan's Version), Collection d'Arnell-Andrea
13, Gamma Leonis, Petrychor
14, In Memory Of The Last Empire, Scivias
