1, Amhrán (Song of the Winds), Leaves' Eyes
2, Lila, Endorphin
3, Storm, Theatre of Tragedy
4, The Beauty in All Things, Autumn Tears
5, Enigma, On Thorns I Lay
6, Ore Hell Is Where The Heart Is The Gospel Of Tomas, Ordo Rosarius Equilibrio
7, My Mind's Eye, Sirenia
8, If I Fail, Mono Inc.
9, Escapist, Nightwish
10, Farewell, Paul Schwartz
11, Das Rad des Schicksals, E Nomine
12, Where at Night the Wood Grouse Plays, Empyrium
13, Until The End, Entwine
14, Anabasis, Dead Can Dance
15, B Mashina, Laibach
