1, I Do Adore Her, The Chad Mitchell Trio
2, The River Is Wide, The Kingston Trio
3, Take My True Love By The Hand, The Limeliters
4, Ramblin' Boy, The Weavers
5, Keep on the Sunny Side, Doc Watson
6, Leaning on the Everlasting Arm, Mike Seeger
7, Philadelphia Lawyer, Rosalie Sorrels
8, This Land is Your Land, Woody Guthrie
9, Rambling Gambler, Alan Lomax
10, The Last Thing on My Mind, Tom Paxton
11, Both Sides Now, Joni Mitchell
12, When I Was Single, Peggy Seeger
13, Til We Meet Again, Elizabeth Cotten
