1, 01. Drop The Bomb!, Tiny Masters of Today
2, 02. Burn It All Down, VHS or Beta
3, 03. Beards Again, MSTRKRFT
4, 04. Levitate, Hadouken!
5, 05. Gay Bar, Electric Six
6, 06. Pogo, Digitalism
7, 07. Damaged Goods, Gang of Four
8, 08. White Is Red, Death from Above 1979
9, 09. Destitute Time, Delorean
10, 10. Shake Shake Shake, The Sounds
11, 01. Drop The Bomb!, Tiny Masters of Today
12, 02. Burn It All Down, VHS or Beta
13, 03. Beards Again, MSTRKRFT
14, 04. Levitate, Hadouken!
15, 05. Gay Bar, Electric Six
16, 06. Pogo, Digitalism
17, 07. Damaged Goods, Gang of Four
18, 08. White Is Red, Death from Above 1979
19, 09. Destitute Time, Delorean
20, 10. Shake Shake Shake, The Sounds
